,normal_percentiles,playtime_percentiles
0.0,0.017587973802867567,0.017587973802867567
0.001,0.30607131530585635,0.1310799468196568
0.002,0.33451988188479964,0.20060076888062206
0.003,0.3717561861912335,0.20060076888062206
0.004,0.40049685489330344,0.279281446026417
0.005,0.4055305683380333,0.286115791981777
0.006,0.4146448282888552,0.286115791981777
0.007,0.42540553311178186,0.286115791981777
0.008,0.4330403426551203,0.286115791981777
0.009,0.4407299288854321,0.30168653188270583
0.01,0.44251964206395494,0.30168653188270583
0.011,0.4446730522969662,0.30168653188270583
0.012,0.4446730522969662,0.30168653188270583
0.013,0.4493033927512552,0.30168653188270583
0.014,0.4539745706607208,0.30607131530585635
0.015,0.4572411828597856,0.31800116322503724
0.016,0.4621119900178929,0.31800116322503724
0.017,0.46526933681981264,0.31800116322503724
0.018,0.4684178642535766,0.31800116322503724
0.019,0.47193290853620995,0.31800116322503724
0.02,0.4743795926146269,0.31800116322503724
0.021,0.47665094194404994,0.31800116322503724
0.022,0.4788652735096697,0.31800116322503724
0.023,0.48093920072511787,0.31800116322503724
0.024,0.4836460464158732,0.31800116322503724
0.025,0.4856537768472408,0.31800116322503724
0.026,0.4879403350070725,0.31800116322503724
0.027,0.4898514262300396,0.31800116322503724
0.028,0.4916304339495192,0.33451988188479964
0.029,0.49296066166517843,0.33451988188479964
0.03,0.4947682905950576,0.33451988188479964
0.031,0.49680820157658,0.33451988188479964
0.032,0.49866515950706125,0.33451988188479964
0.033,0.49967610699800374,0.33451988188479964
0.034,0.5009258591232546,0.33451988188479964
0.035,0.5021889776372845,0.33451988188479964
0.036,0.5039388249638149,0.33451988188479964
0.037,0.5053392831264046,0.33451988188479964
0.038,0.506441508045955,0.33451988188479964
0.039,0.5078605156627181,0.33451988188479964
0.04,0.5081833468289251,0.33594485529910795
0.041,0.509257367650367,0.3445344637184084
0.042,0.510583764323771,0.36901410126124246
0.043,0.5119062985470308,0.39125858499876737
0.044,0.5132356357949829,0.4033423680412647
0.045,0.5141013463603774,0.4082338304086268
0.046,0.5143782857582448,0.4163085637239756
0.047,0.5154865639397017,0.4206487057545257
0.048,0.5165363443147669,0.4206487057545257
0.049,0.517634234033571,0.42271845725249274
0.05,0.5190032662154741,0.4314821781572559
0.051,0.5199039811625155,0.4394629279774091
0.052,0.5209026242659042,0.4459818447939329
0.053,0.5216609933255533,0.45462022136263835
0.054,0.5225523411157061,0.4653934934927997
0.055,0.5234216959819786,0.46592437563010664
0.056,0.5244055697574891,0.46592437563010664
0.057,0.5253483002253897,0.46592437563010664
0.058,0.5261340036992544,0.46592437563010664
0.059,0.5268821523288946,0.46592437563010664
0.06,0.5276264177091986,0.46592437563010664
0.061,0.5283373392362951,0.46592437563010664
0.062,0.5290728806577313,0.46962183935926954
0.063,0.529841192154701,0.4742636314652213
0.064,0.5304465983705376,0.4776724885580234
0.065,0.5311239902361291,0.4824042879149167
0.066,0.5318980034579459,0.4884879616113602
0.067,0.5326119136046455,0.48991265393711886
0.068,0.5333917282993882,0.5006117719796039
0.069,0.534059418031019,0.5017606913080775
0.07,0.5347059164551672,0.5057328534125287
0.071,0.5351704367246811,0.5065137937541591
0.072,0.5359489119471003,0.5109599688296546
0.073,0.536682579533091,0.5257188514095505
0.074,0.5369849847764521,0.5312972522583025
0.075,0.5375429510936468,0.531591427704887
0.076,0.5381111370363623,0.5351253688887753
0.077,0.5387042902019228,0.5369863387284416
0.078,0.5394061738410726,0.5369863387284416
0.079,0.5399981674519293,0.5369863387284416
0.08,0.5406431300456366,0.5373639353343413
0.081,0.5411485429352648,0.5378261559173486
0.082,0.5416607388071987,0.5378261559173486
0.083,0.5421894628295465,0.5378261559173486
0.084,0.5427460134654544,0.5394893290573363
0.085,0.5432411875459922,0.5452869678291716
0.086,0.5436875194589801,0.5459413587371954
0.087,0.5441562540994205,0.5525399289732307
0.088,0.5446837346451276,0.5639983559492335
0.089,0.5452712764659168,0.5686761521356766
0.09,0.5458406955447247,0.5719722147774234
0.091,0.546399546697466,0.5719722147774234
0.092,0.5467676290128921,0.5719722147774234
0.093,0.5472858361130803,0.5746873301726263
0.094,0.5475948543575231,0.5808949305173458
0.095,0.5479821707985882,0.5812960910576547
0.096,0.548522449126704,0.5812960910576547
0.097,0.5490267441995237,0.5823727241229626
0.098,0.5495600026491037,0.587916018459002
0.099,0.5500168884430425,0.5942967413695381
0.1,0.5504693776880706,0.5942967413695381
0.101,0.5509738500219541,0.5952851583007666
0.102,0.5514025913228303,0.5952851583007666
0.103,0.5517812419597444,0.5952851583007666
0.104,0.5522439646786544,0.5952851583007666
0.105,0.5526314845463101,0.5999220832780492
0.106,0.5531010939107772,0.5999220832780492
